Tanggal & Waktu,Pertanyaan,Layanan Dicari,Waktu Respons (ms),Status
15/10/2025, 13.49.15,"Apa saja syarat cetak ulang KTP rusak?",Pencetakan Ulang KTP Elektronik Rusak,5455,Berhasil
15/10/2025, 13.49.06,"Berapa lama proses pembuatan KTP?",Umum,1413,Berhasil
15/10/2025, 13.49.02,"Berapa lama proses pembuatan KTP?",Umum,2195,Berhasil
15/10/2025, 13.48.34,"Bagaimana cara buat KTP baru?",Penerbitan KTP Elektronik Baru,14315,Berhasil
15/10/2025, 13.47.48,"Bagaimana cara buat KTP baru?",Umum,10632,Berhasil
15/10/2025, 13.45.30,"APAKAHBISADI URUS SECAR AONLINE",Umum,3135,Berhasil
15/10/2025, 13.45.15,"Bagaimana cara urus paspor baru?",Penerbitan Paspor Baru,11776,Berhasil
15/10/2025, 13.44.45,"Apa saja syarat SKCK?",Penerbitan Surat Keterangan Catatan Kepolisian (SKCK) Baru,4371,Berhasil
15/10/2025, 13.44.28,"Apa saja syarat perpanjangan SIM?",Perpanjangan SIM A/C,8299,Berhasil
15/10/2025, 13.44.15,"Bagaimana cara urus paspor baru?",Penerbitan Paspor Baru,7700,Berhasil
15/10/2025, 11.44.49,"apkah ada bu hera",Umum,1827,Berhasil
15/10/2025, 11.44.34,"apakahbisa di urus secara nlen min",Umum,4048,Berhasil
15/10/2025, 11.44.13,"persartan ktp apa saj a?",Penerbitan KTP Elektronik Baru,7613,Berhasil
15/10/2025, 11.43.56,"min persaratan mpp apa saja",Umum,4662,Berhasil
15/10/2025, 11.21.00,"Perizinan Usaha",Umum,2232,Berhasil
15/10/2025, 11.14.36,"persaratan cetak kartu kk apa saja",Penerbitan Kartu Keluarga,12308,Berhasil
15/10/2025, 11.12.29,"persaratnya ap saj",Penerbitan KTP Elektronik,10379,Berhasil
15/10/2025, 11.11.43,"min apakah bisa cetak ktp secara online",Umum,2009,Berhasil
15/10/2025, 11.10.12,"persaratan ktp",Umum,8200,Berhasil
15/10/2025, 11.09.56,"KTP & KK",Umum,16066,Berhasil
15/10/2025, 11.05.18,"persartan ktp",Penerbitan KTP Elektronik Baru,5358,Berhasil
15/10/2025, 11.04.46,"cara cetak ktp",Umum,7812,Berhasil
15/10/2025, 11.04.15,"SIM & STNK",Umum,16841,Berhasil
15/10/2025, 11.03.17,"cara membuat ktp",Penerbitan KTP Elektronik Baru,6411,Berhasil
15/10/2025, 11.02.50,"SIM & STNK",Umum,4852,Berhasil
15/10/2025, 10.55.23,"hera oneng",Umum,1705,Berhasil
15/10/2025, 10.55.08,"kalau mau jajan ada di mpp",Umum,1705,Berhasil
15/10/2025, 10.54.48,"mpp apa gitu",Umum,2522,Berhasil
15/10/2025, 10.54.31,"nu bener min",Umum,2762,Berhasil
15/10/2025, 10.54.16,"apakah ada nama cheru di mpp",Umum,2043,Berhasil
15/10/2025, 10.53.10,"min kalau saya mau kawin lagi gimana",Pencatatan Perkawinan,16631,Berhasil
15/10/2025, 10.52.23,"berartiharus datan glangsung yah ",Umum,1759,Berhasil
15/10/2025, 10.51.54,"kalo saya tidak bisa datang apkah bisa secara online di urusnya ",Umum,3014,Berhasil
15/10/2025, 10.51.25,"min persaratan ktp apa saja",Penerbitan KTP Elektronik Baru,5365,Berhasil
15/10/2025, 10.48.07,"min persaratn ktp",Penerbitan KTP Elektronik Baru,4297,Berhasil
15/10/2025, 10.46.35,"min cara membuat skck",Penerbitan SKCK (Surat Keterangan Catatan Kepolisian),7804,Berhasil
15/10/2025, 10.23.15,"min bisa di urus secara online ga",Umum,2324,Berhasil
15/10/2025, 10.22.52,"sayaingain membuat kartu keluarga baru ",Penerbitan Kartu Keluarga (KK) Baru,6375,Berhasil
15/10/2025, 10.22.24,"halo min",Umum,1730,Berhasil
15/10/2025, 10.21.27,"KTP & KK",Penerbitan KTP Elektronik Baru,13635,Berhasil
15/10/2025, 10.20.59,"KTP & KK",Umum,16763,Berhasil
15/10/2025, 10.19.06,"KTP & KK",Umum,444,Berhasil
14/10/2025, 10.13.10,"cara perpanjang SIM C",SIM,1500,Berhasil
14/10/2025, 10.13.10,"syarat buat KTP baru apa aja?",KTP,1200,Berhasil
13/10/2025, 10.13.10,"lokasi gerai SKCK di mana?",SKCK,900,Berhasil
13/10/2025, 10.13.10,"biaya pembuatan paspor berapa?",Paspor,1100,Berhasil
12/10/2025, 10.13.10,"daftar bpjs mandiri",BPJS,1300,Berhasil
12/10/2025, 10.13.10,"jam buka mpp pandeglang hari jumat",Umum,800,Berhasil
11/10/2025, 10.13.10,"pajak motor tahunan",Pajak,1000,Berhasil
10/10/2025, 10.13.10,"kalau ktp hilang gimana",KTP,1400,Berhasil
9/10/2025, 10.13.10,"butuh berapa lama buat skck?",SKCK,950,Berhasil
